Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8
0,0.5283604619569385,1.1018131628267841e-48,0.8258618007221906,0.5593286723961751,7.304505780557788e-44,0.3317564853608721,0.39709256888705824,3.745841036425832
1,1.065396247763294,0.2859338311565679,9.748834889685481e-30,0.9072413598620815,5.990457797772231e-27,1.285898998382171e-15,0.45258534374498777,3.597635356388498
2,1.8209006038718403,0.13624034299237714,0.01780546767482783,1.0760640606661904e-31,5.041999570381941e-80,0.5085526567492112,0.2595127264782258,3.584401573261413
3,1.6650604004339618,0.06803962821438896,1.5018082032015052e-08,0.3094574333899828,8.327106848075779e-20,0.5410912788787591,0.43345843988549915,3.391451634624532
4,0.7736158022736548,0.49543664144394217,0.7034911428612467,4.895448198010657e-05,0.21988733088420903,0.6105422450887366,0.2613336001224375,3.344098268089711
5,1.4826679374340241,0.25648677020409383,0.2484706097348215,0.6447514698243166,0.394942550512933,2.741877808599696e-24,0.1332000342679492,3.0838546022725724
6,0.8650733012142381,0.3519846746739408,0.8733033408816835,0.3698949302576777,0.5785315669457244,1.4036963625700105e-40,0.16224528500060809,2.926147013946729
7,0.7436077449031678,0.8983839693351798,0.9285407049553158,8.085241954800897e-21,0.8063429966925953,0.00012936233835077388,8.603998777368884e-09,2.6878780392099815
8,1.2867630153390306,6.793130679713368e-24,1.2405380119546507,0.019835515381112973,0.6790681341091381,0.0026174625876672843,0.06097284684787813,2.5298184898513445
9,0.7518698313830646,0.15456107524858587,1.0765838008543391,0.4861751178132969,0.9509334598484293,4.0670899766373576e-19,2.4090468012070717e-18,2.356800677288584
10,0.3170651676073944,6.310167755985706e-12,1.7544965779904564,0.406598560691892,1.213336871339619,1.1933311693983328e-50,2.0237190642220574e-127,1.9194292837856088
11,1.1390245445617941,0.03719986217767163,0.686283030877911,0.415415743744661,1.3103174627655374,0.349646628478677,1.9510303455557074e-31,1.764659068340866
12,0.3533997220137988,3.114188298793046e-41,1.0168579915292955,0.8038443576715193,1.3532742110755822,0.39098322620125786,2.55472529431992e-19,1.5097550544000622
13,1.3504560620460568,0.3519484005632303,0.24167662480304503,0.036757070086988,1.313653507503294,0.8335594676857335,6.536557915856335e-76,1.48577445704434
14,0.35890913867993374,7.991634119617158e-37,1.068318919802244,1.1100141533559216,1.4742704816582415,0.06972372730431145,1.773651336628724e-116,1.2173586662511737
15,0.46805074548882536,0.7477925872793921,0.4114848506355045,1.075551515763777,1.532530198651901,8.028959430822407e-22,3.2803223327362604e-111,1.0663639538118126
