Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8,LatentFactor_9
0,1.7359636459610326,0.25437562728567376,1.0412443412932348e-15,0.36387338152712373,1.3166000680904028e-26,0.09784481439734966,2.681326124952119,0.2376765587975444,0.48582814193023466
1,1.108400113942297,0.19983781224791122,4.40178571924232e-32,1.232028470981548,0.14622903610233473,0.19719982758937796,2.601172130494897,0.2702458166068224,5.2894049569355093e-17
2,1.0097813760746378e-08,0.6521738410572797,0.0038246719429239455,2.3953550238664625,1.2018500162799246e-25,3.636541000605213e-30,2.5057988409500385,3.836989075522709e-11,1.359147752593649e-13
3,0.041266214087881385,0.8385309750619837,0.0437793094533739,2.2199519864233483,0.019245780013530247,0.16090029551277812,2.4844166711370765,4.934547134177307e-14,3.05529164716713e-09
4,0.4493635649602772,1.1559374374484697,0.15074421361178045,1.1228144858344287,0.002056344134339129,3.595898051089513e-06,2.571465387004472,0.22987796067912197,2.191382607551603e-06
5,0.8711357801127416,0.13682663398882156,0.25146090533768406,1.6064507904227259,0.5866795106534074,4.278800110152053e-24,2.4366152438448085,6.839792401367592e-27,1.2121904683437125e-38
6,1.2280323581407608,2.3578492614982725e-08,0.6269017388286972,0.9126774813086261,0.4720398726028433,0.07445533794746335,2.473420625318814,5.026829838530497e-07,9.40803878786531e-15
7,0.8287566905322544,0.0035500532369097918,0.4787446850357047,0.7854121567988598,0.7187221537872662,1.4235860401883806e-10,2.400148776364457,0.4943065078054142,0.0008088950147958168
8,1.1333297440132175,1.0487231029723996e-07,0.9857060707427243,1.2715616231301985,9.87943809064612e-15,0.01157241945125149,2.243836356730608,5.929213313751465e-32,0.000829607139824638
9,1.7034275233045888,9.490684757033342e-13,0.711843028627025,0.3830667054424006,0.5019856438006142,0.07385245456875059,2.265442693980861,5.243173164684795e-14,2.6423272209571243e-08
10,1.759168625597596,4.142665094361677e-13,1.2825298882608667,0.2801775951399404,0.0030564956623176424,0.06510947009512591,2.2030424659941965,0.00012376094750720003,1.2679171673731003e-08
11,0.5972073949962511,0.28764909700776126,0.6063221328404091,1.3613807856773854,0.3591088697024298,0.3560211569205118,2.0272035175735947,1.8357688430503252e-15,0.18749176204224785
12,1.5416466267567024,0.1604305246937078,0.2728403977373796,0.358685653557359,0.0019085233932072494,0.4596022898531839,1.8415671158257123,0.5106518346619027,0.6760918157717848
13,4.730623643239849e-10,9.312996624448848e-09,0.48237312299774204,1.403113432651208,0.47268673043144965,0.303960022998822,1.8810525942771221,0.24325440185366978,1.124159295130579
14,1.4084005536841728,0.39484172466397294,1.1064186880169538,0.4184376524008461,3.287751710065841e-07,0.3660809379818608,1.80476135502354,6.862008456272228e-08,0.10018215449764518
15,1.0908584264617993,0.07158137647470993,0.4363814966583889,0.6372971833757072,0.0685204704591303,0.45547291946299134,1.7024891986531037,1.1828047875708798,1.0488637567737957e-25
16,1.0289138757104275,0.029260965386414515,0.8534035482505994,0.145394028469899,2.2636265602636464e-09,0.5941930028099449,1.6514730163262055,1.2930721409506076,0.09248926546564766
17,0.9378962157427415,0.1383869018236168,1.3775031298094058,2.7874671549195836e-12,0.16250131830328815,0.916802011141416,1.5372458141464211,0.7576609746767713,5.444522874582872e-07
18,0.881524405924363,3.566073684492163e-38,1.7061665882360013,1.0390473569871179e-12,4.71575319651213e-07,0.9955796826757052,1.353548107748121,5.361123296251868e-11,1.138735153080386
19,1.7505082169581854,0.4790727293164863,1.1329358339744788,1.7111702657595425e-25,0.14723629341752195,1.1377799831644315,1.2702942628748513,0.010092427899429957,2.781560309142516e-11
20,1.0827078961470946,4.271048083814078e-25,0.7034267779306188,0.07891081618896714,0.9250838581794628,1.3222514092063866,1.198962732901663,0.29133999910027153,0.4878175138562078
21,2.105402218313213,0.16751410020011243,0.6828316666900616,1.1090790085315254e-23,0.2584170539512742,1.4207371616808473,1.0613676458790025,0.00014040739983657344,0.36159524736219867
22,1.114073452130817,0.0021974558085469027,0.5611309137456663,0.8256097582853129,0.3549146987271254,1.1839320793393744,1.0541543088770724,5.765402840913623e-07,1.114994724156864
23,0.5983856717668022,0.5359691765688152,0.575789369312737,0.3651820064483625,0.8995849191197662,1.3145240209875384,0.9227112120085142,2.98683783926992e-08,0.8957721195651502
24,1.0593165089439676,0.22909628068218685,0.8067925794877789,0.2255176675325717,0.004678602488224306,1.9054708228546549,0.7039335309086573,0.4655611269946808,1.0005563848876275
25,0.8875992521924476,0.14897164462048146,1.1530136427818953,0.0003415991006880048,1.4013298287156528,1.6999183040083283,0.7324272617927877,5.770052045151595e-14,2.2410374148903458e-06
26,0.08549011192316484,0.1350856122116235,0.8260072128834077,0.16221177775920634,0.5065651090080506,1.373939670954859,0.7603591402844884,1.005429988570228,0.958772671005599
27,0.5760515548862889,0.45506183030539976,0.044198791199850464,0.41192619121918067,1.3075587595990683,1.442080386684875,0.7163534893739106,0.5610300486377295,1.0693917597557533e-34
28,0.5462149791883641,0.5632742386373112,0.3175648880863565,0.1789194016955811,0.8197900195167594,1.6453266844353334,0.7032151102776104,0.35941403820667145,1.0207326731559019
29,0.0050121809622145725,0.5362493670700941,0.46257570843874385,1.0951937749096239,1.4529440459133691e-08,1.6332757715219097,0.5847935350491456,0.6029785675262531,0.9514897615904084
30,0.9062413313770198,0.00014326188739265225,1.0758638791499013,0.003574048797224134,0.7542473950307192,1.6849898406766275,0.5863231473257928,0.8321665933321559,8.727895988275541e-34
31,0.8889637316422164,1.493300632073057e-12,0.635837618408077,1.2334805583811674,5.102448236178201e-07,1.6023991848955175,0.6389065168601483,0.6848254512157468,4.948166143550649e-30
32,0.8692103349818258,0.10162628812814102,0.4470585210445413,0.15680990695925134,0.21690723707967707,1.5515337180502824,0.6284487170461133,1.1773017442781801,0.8279916235377508
33,1.6555358396442885,0.5478216614009458,5.565994976727791e-08,0.4179506757398086,0.002114257702929765,2.017650205761677,0.45057358255270535,0.04756087385379444,1.0869570410107912
34,1.3193113845639861,5.852860792204453e-18,0.09045417283878737,0.222413098873436,1.1273570136202886,1.7830957432806642,0.4102282000487816,1.6377927419551413e-18,1.2400583339163127
35,0.9906470898884311,0.1394460113561275,0.3009677051135224,2.7191880744515734e-31,0.00010629329455833132,1.950311459809233,0.4128545184313104,0.43391355692277245,2.2996221107180066
36,0.36439018258362865,1.2884956744637984e-05,0.43530331056460536,0.4688832241903247,2.682954772793041e-13,1.9311633700753068,0.30769973642395215,1.5875113935920988,1.1700005823871695
37,0.017573724087871327,0.03720919323101259,0.452805887358383,0.9768276250043202,2.5075637864221557e-11,2.1331797159391384,0.3201387886944043,1.4508639549035285,0.6959104289802867
38,5.674102549699903e-05,0.5631975091673113,0.21629656848980028,0.7397161165342843,0.5639988512864732,2.0056242164730484,0.24027909340497777,0.9273646034208842,0.8754571878066564
39,0.6580254635963853,0.8187501835117728,0.538628074471683,0.7273737398039042,0.46092009645476284,1.9436465519681252,0.2664712194809552,0.09286061612519181,0.24984689214832018
40,1.0704456080034515,0.15702954309810135,0.33071602630633506,0.3633871525823077,0.5323582836724629,2.000038513511008,0.25155653639347614,1.068895230780363,0.1628872822664111
41,1.3199606185201198,0.36892027519384624,1.7235144276189908e-11,1.5181260727825416e-09,0.657740837066503,2.1523318260321522,0.16290302487848818,1.3630572933466811,4.4961504231066394e-23
42,1.1568243387860027,3.4470537165590434e-08,0.0001666866127730789,0.20953379843255895,0.837040339421672,2.1147264042006335,0.15834822622002398,0.8497102124100386,0.5889939711150515
43,0.5044444599616098,0.6292314420459855,3.885884221326855e-12,0.41125266132201754,0.7724902970003326,1.9855518142974118,0.1599374943129994,0.42818857247006176,1.1326745124851618
44,4.215898896427642e-06,0.4049409506005203,0.10733249551046148,0.06337888414214608,1.2981673348651814,2.2124243732785294,0.02776647153897226,1.6085994690177308,4.504830399568931e-14
45,0.4973697208933463,0.27484089181069443,0.1091546013841885,0.00799056955302907,0.905410433327032,2.050403797165407,0.10928655699512471,1.040190244928397,1.133802076784635
46,1.188471819106779e-10,0.43930014083445074,1.7547230133692196e-09,1.9260307849839096,0.04258342373702216,1.9613026305920407,0.15311256740950696,0.03136649474067159,1.5630048748332996
47,0.004824040233243655,0.0702037500163983,0.1711839327871968,1.2715515003727522,1.2105647070443228,1.9876124678081568,0.19721511044550563,0.5037666411913747,0.36484640735513363
48,1.889785821298806e-23,1.2917015047204955e-19,0.5293894868680997,1.0947173600389117,1.0221477449804242,2.2342340501451323,0.05894640421909875,0.4879131686477429,0.6347922888451497
49,0.0016762179556230068,0.7351139818376455,1.4989224494814177,0.38459026516912875,0.0011714986026511508,2.0857473690820245,0.1879934081836539,0.7709331396646333,0.0012416081259353257
50,8.60953585746267e-06,0.016038936292445898,1.070703883586923,0.9071734682871677,1.090124519625147,2.049746241672534,0.10105053024067713,6.231759960997228e-07,0.8404561466662682
51,0.5583380203441117,1.317702869640295e-07,0.5072489242408417,0.5925928788268586,1.1039415551204033,2.257639736115993,0.12313477983132283,3.3277079045355093e-06,1.1296066571611372
52,0.3699632838868109,0.6942418001851028,0.4698727577612006,0.6678886937893841,0.7200792573953229,2.2659505977450936,0.05012772052396678,0.3813024804586033,0.2885392528046705
53,0.872786940635143,0.565188075261389,0.5090228480415745,0.6711845386436665,0.5286734160847082,2.30472206028549,2.847242753297341e-08,0.004826032191834327,0.6598693985166827
54,0.014106636391234655,0.287949386262431,1.0826952587578749,0.18702562008980622,3.946162152236497e-11,2.32867857494605,0.021932659079935777,0.8192874217596195,1.3338896871130104
55,1.196971827216556e-09,3.0593348552235996e-09,1.0757197929873765e-07,1.1714263832006182,0.8832493207957194,2.1417658202221177,0.1447637159351254,0.8546765021192885,0.8487152926295534
56,5.813916175566811e-07,0.4832769767902358,0.000130797211627602,0.9226342354830248,1.098927106250705,2.3081529141112105,0.09888411869002278,0.8480864518933934,0.2534401115627679
57,0.7567161686371017,0.47156326900770407,0.23441804490976,0.3854746183519309,1.2048495558478427,1.9991002050723339,0.10240613073670284,0.03890876909021998,0.8114003333798009
58,0.5547173686864313,0.23865098524450185,2.165095547572232e-26,0.033998359059627205,1.7942584773715522,2.3565030731845247,4.051980117605467e-06,0.5647941055211751,0.5192509343179266
59,1.2881815657972566,0.00016460282366666162,0.9363848999246013,0.08574431805963621,0.7366970586259589,2.2344293756879243,0.0710394150389482,0.10547893385358637,0.5234141310582916
60,1.102114098101186,0.20257163552157142,0.08194742063583052,0.002181430460634852,0.32472487757620283,2.1709182593096945,0.14102879222184764,0.7825951931222115,1.4606336607923662
